"","sgender.0","sgender.1","srace.0","srace.1","srace.2","srace.4","treatment","trace.1","trace.2","degree.2","degree.3","degree.5","degree.6","careerladder.1","careerladder.2","careerladder.3","careerladder.4","careerladder.5","careerladder.6","teachingexperience","score","ATE","image_file"
"42",0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0238095238095238,0.301470588235294,0.0406264493983098,"14_1_0_20170109214406209.jpg"
"43",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.19047619047619,0.492647058823529,0.0406264493983098,"1_1_0_20170109194137393.jpg"
"46",1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0.357142857142857,0.639705882352941,0.0406264493983098,"34_0_0_20170104165555523.jpg"
"48",1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.119047619047619,0.617647058823529,0.0406264493983098,"28_0_1_20170113135703082.jpg"
"50",0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.19047619047619,0.283088235294118,0.0406264493983098,"18_1_0_20170109212536049.jpg"
"52",1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.761904761904762,0.4375,0.0406264493983098,"5_0_1_20170103205158426.jpg"
"54",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.5,0.4375,0.0406264493983098,"4_0_1_20170110213311678.jpg"
"55",1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.476190476190476,0.533088235294118,0.0406264493983098,"26_0_4_20170103235432764.jpg"
"56",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.142857142857143,0.426470588235294,0.0406264493983098,"26_1_0_20170117173945869.jpg"
"58",1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0238095238095238,0.397058823529412,0.0406264493983098,"26_0_0_20170117172603774.jpg"
"60",1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.599264705882353,0.0406264493983098,"27_0_0_20170117120549066.jpg"
"61",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.166666666666667,0.599264705882353,0.0406264493983098,"27_0_0_20170117175751139.jpg"
"71",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.166666666666667,0.341911764705882,0.0406264493983098,"26_0_1_20170104230506569.jpg"
"72",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.119047619047619,0.426470588235294,0.0406264493983098,"27_1_1_20170113012427688.jpg"
"75",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.452380952380952,0.419117647058824,0.0406264493983098,"26_0_1_20170113174952963.jpg"
"86",1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.738095238095238,0.764705882352941,0.0406264493983098,"28_0_1_20170113142355492.jpg"
"93",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0476190476190476,0.691176470588235,0.0406264493983098,"1_1_0_20170109190939585.jpg"
"96",0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.285714285714286,0.235294117647059,0.0406264493983098,"4_1_1_20170112213257263.jpg"
"97",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.357142857142857,0.547794117647059,0.0406264493983098,"29_1_0_20170117130626511.jpg"
"98",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.285714285714286,0.378676470588235,0.0406264493983098,"26_0_0_20170113210605270.jpg"
"99",1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0.0952380952380952,0.5625,0.0406264493983098,"20_0_0_20170113132332102.jpg"
"101",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.166666666666667,0.419117647058824,0.0406264493983098,"10_1_0_20170109203438428.jpg"
"105",0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.724264705882353,0.0406264493983098,"29_1_0_20170117130628854.jpg"
"106",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.285714285714286,0.360294117647059,0.0406264493983098,"28_1_0_20170117190450170.jpg"
"107",1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.119047619047619,0.459558823529412,0.0406264493983098,"30_0_0_20170117150940669.jpg"
"108",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.214285714285714,0.547794117647059,0.0406264493983098,"26_0_0_20170113210127179.jpg"
"109",1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.4375,0.0406264493983098,"26_0_0_20170117170723363.jpg"
"115",1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.547619047619048,0.426470588235294,0.0406264493983098,"25_0_0_20170117191852883.jpg"
"119",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.642857142857143,0.371323529411765,0.0406264493983098,"15_0_0_20170104013333801.jpg"
"120",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.214285714285714,0.4375,0.0406264493983098,"26_0_0_20170113210127348.jpg"
"124",0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.724264705882353,0.0406264493983098,"4_1_4_20161221193328366.jpg"
"131",1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.523809523809524,0.419117647058824,0.0406264493983098,"35_0_0_20170117134946022.jpg"
"134",1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0952380952380952,0.533088235294118,0.0406264493983098,"26_0_1_20170117173502013.jpg"
"137",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.19047619047619,0.275735294117647,0.0406264493983098,"28_0_0_20170117180605616.jpg"
"141",1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.404761904761905,0.459558823529412,0.0406264493983098,"30_0_1_20170116002938608.jpg"
"146",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0.166666666666667,0.547794117647059,0.0406264493983098,"28_1_0_20170104233637946.jpg"
"147",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.30952380952381,0.470588235294118,0.0406264493983098,"35_0_0_20170117174409006.jpg"
"153",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.476190476190476,0.724264705882353,0.0406264493983098,"29_0_0_20170117010705850.jpg"
"155",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.380952380952381,0.691176470588235,0.0406264493983098,"32_1_0_20170116201719833.jpg"
"156",1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.285714285714286,0.316176470588235,0.0406264493983098,"31_0_0_20170105165008674.jpg"
"159",1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.547619047619048,0.301470588235294,0.0406264493983098,"26_0_1_20170113155031025.jpg"
"176",1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.0952380952380952,0.492647058823529,0.0406264493983098,"28_0_1_20170113145447677.jpg"
"180",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.428571428571429,0.661764705882353,0.0406264493983098,"10_1_0_20170109203917216.jpg"
"182",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.580882352941177,0.0406264493983098,"10_0_1_20170110225121326.jpg"
"187",1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.19047619047619,0.5625,0.0406264493983098,"32_0_0_20170117133749832.jpg"
"189",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.476190476190476,0.397058823529412,0.0406264493983098,"10_0_0_20170110225601897.jpg"
"192",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.214285714285714,0.360294117647059,0.0406264493983098,"30_1_0_20170117204651319.jpg"
"193",0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.833333333333333,0.378676470588235,0.0406264493983098,"28_1_1_20170117165607911.jpg"
"194",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0714285714285714,0.341911764705882,0.0406264493983098,"23_1_1_20170102233446754.jpg"
"200",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.214285714285714,0.378676470588235,0.0406264493983098,"24_1_0_20170105183749799.jpg"
"211",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.261904761904762,0.518382352941177,0.0406264493983098,"24_1_0_20170111182452774.jpg"
"214",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.166666666666667,0.172794117647059,0.0406264493983098,"32_0_1_20170113145215078.jpg"
"216",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0.357142857142857,0.470588235294118,0.0406264493983098,"25_1_0_20170117195324293.jpg"
"224",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.0476190476190476,0.492647058823529,0.0406264493983098,"30_0_1_20170117130008683.jpg"
"236",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.666666666666667,0.518382352941177,0.0406264493983098,"24_1_0_20170108225915369.jpg"
"243",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.428571428571429,0.224264705882353,0.0406264493983098,"30_0_0_20170117143352248.jpg"
"247",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.19047619047619,0.617647058823529,0.0406264493983098,"23_1_0_20170116221813922.jpg"
"253",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.380952380952381,0.5625,0.0406264493983098,"18_0_0_20170110232030603.jpg"
"255",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.19047619047619,0.599264705882353,0.0406264493983098,"34_0_0_20170117134918378.jpg"
"260",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0476190476190476,0.334558823529412,0.0406264493983098,"7_1_0_20170109205356415.jpg"
"262",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.19047619047619,0.419117647058824,0.0406264493983098,"15_0_0_20170110232532949.jpg"
"263",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.19047619047619,0.419117647058824,0.0406264493983098,"26_0_0_20170117173510724.jpg"
"264",0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.0238095238095238,0.580882352941177,0.0406264493983098,"27_1_1_20170113012330703.jpg"
"266",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.404761904761905,0.283088235294118,0.0406264493983098,"12_1_0_20170109205043077.jpg"
"271",1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.428571428571429,0.599264705882353,0.0406264493983098,"32_0_0_20170117140230056.jpg"
"274",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0714285714285714,0.533088235294118,0.0406264493983098,"25_0_0_20170116222936983.jpg"
"276",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0952380952380952,0.301470588235294,0.0406264493983098,"34_0_0_20170116191654862.jpg"
"278",1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.476190476190476,0.661764705882353,0.0406264493983098,"26_0_0_20170116180849908.jpg"
"281",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.428571428571429,0.691176470588235,0.0406264493983098,"14_0_0_20170110223437445.jpg"
"282",1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.452380952380952,0.448529411764706,0.0406264493983098,"27_0_0_20170117013636316.jpg"
"283",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.261904761904762,0.4375,0.0406264493983098,"10_0_0_20170110220503946.jpg"
"284",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.476190476190476,0.408088235294118,0.0406264493983098,"30_1_0_20170117181115699.jpg"
"286",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0.19047619047619,0.533088235294118,0.0406264493983098,"12_1_0_20170109205056743.jpg"
"287",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.261904761904762,0.448529411764706,0.0406264493983098,"11_0_0_20170103200509559.jpg"
"292",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.0238095238095238,0.419117647058824,0.0406264493983098,"28_0_0_20170116193347672.jpg"
"296",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0952380952380952,0.426470588235294,0.0406264493983098,"26_1_0_20170117152609260.jpg"
"298",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.691176470588235,0.0406264493983098,"18_1_0_20170109213049651.jpg"
"300",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0.285714285714286,0.389705882352941,0.0406264493983098,"25_1_0_20170116223827511.jpg"
"301",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.380952380952381,0.617647058823529,0.0406264493983098,"30_1_0_20170108225424420.jpg"
"302",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.380952380952381,0.397058823529412,0.0406264493983098,"26_1_0_20170109132910372.jpg"
"304",1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.0238095238095238,0.294117647058824,0.0406264493983098,"35_0_0_20170117201026397.jpg"
"305",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.119047619047619,0.389705882352941,0.0406264493983098,"32_1_0_20170104172647281.jpg"
"307",1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0.5,0.4375,0.0406264493983098,"7_0_1_20170113145509278.jpg"
"308",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.261904761904762,0.426470588235294,0.0406264493983098,"25_1_0_20170117142757162.jpg"
"310",1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.428571428571429,0.580882352941177,0.0406264493983098,"19_0_0_20170117140550401.jpg"
"311",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.404761904761905,0.481617647058824,0.0406264493983098,"16_1_0_20170116000649066.jpg"
"313",1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0238095238095238,0.327205882352941,0.0406264493983098,"28_0_1_20170112211810813.jpg"
"314",1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.119047619047619,0.691176470588235,0.0406264493983098,"30_0_0_20170117132539923.jpg"
"316",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.19047619047619,0.341911764705882,0.0406264493983098,"10_1_0_20170109203556029.jpg"
"317",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.428571428571429,0.819852941176471,0.0406264493983098,"32_1_0_20170117134741526.jpg"
"319",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.19047619047619,0.617647058823529,0.0406264493983098,"3_1_0_20170109192003664.jpg"
"323",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0.333333333333333,0.25,0.0406264493983098,"21_1_0_20170116214444473.jpg"
"330",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0714285714285714,0.580882352941177,0.0406264493983098,"1_1_0_20170109193018259.jpg"
"331",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.476190476190476,0.518382352941177,0.0406264493983098,"25_1_0_20170111182452788.jpg"
"332",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0714285714285714,0.481617647058824,0.0406264493983098,"26_1_1_20170116180908981.jpg"
"334",0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.428571428571429,0.283088235294118,0.0406264493983098,"18_1_0_20170109213550274.jpg"
"335",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0.452380952380952,0.639705882352941,0.0406264493983098,"10_1_0_20170109205141310.jpg"
"336",1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.904761904761905,0.448529411764706,0.0406264493983098,"30_0_1_20170117123902427.jpg"
"337",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.261904761904762,0.507352941176471,0.0406264493983098,"30_1_1_20170117123925997.jpg"
"339",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.30952380952381,0.371323529411765,0.0406264493983098,"2_1_0_20161219190909739.jpg"
"341",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0714285714285714,0.283088235294118,0.0406264493983098,"1_0_0_20170110213501282.jpg"
"342",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.183823529411765,0.0406264493983098,"30_0_1_20170117181243676.jpg"
"345",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.242647058823529,0.0406264493983098,"26_1_0_20170117195825620.jpg"
"350",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.119047619047619,0.599264705882353,0.0406264493983098,"21_0_0_20170117142115098.jpg"
"355",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0714285714285714,0.617647058823529,0.0406264493983098,"28_1_0_20170104172639340.jpg"
"357",1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0476190476190476,0.235294117647059,0.0406264493983098,"32_0_1_20170116185236084.jpg"
"360",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.357142857142857,0.580882352941177,0.0406264493983098,"10_0_0_20170103200329407.jpg"
"367",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.119047619047619,0.661764705882353,0.0406264493983098,"4_0_2_20170110212945664.jpg"
"376",1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.547794117647059,0.0406264493983098,"13_0_0_20170110232526929.jpg"
"380",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.452380952380952,0.547794117647059,0.0406264493983098,"26_1_0_20170117003146021.jpg"
"381",1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.119047619047619,0.25,0.0406264493983098,"26_0_1_20170113152835192.jpg"
"383",0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.761904761904762,0.419117647058824,0.0406264493983098,"25_1_1_20170116001414790.jpg"
"385",0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.352941176470588,0.0406264493983098,"31_1_1_20170112235015193.jpg"
"389",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.642857142857143,0.492647058823529,0.0406264493983098,"19_1_1_20170117195435822.jpg"
"390",1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.142857142857143,0.257352941176471,0.0406264493983098,"28_0_1_20170113142308413.jpg"
"392",0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.214285714285714,0.481617647058824,0.0406264493983098,"2_1_1_20170109194159738.jpg"
"395",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.452380952380952,0.481617647058824,0.0406264493983098,"25_1_0_20170116211727465.jpg"
"396",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.357142857142857,0.492647058823529,0.0406264493983098,"24_1_0_20170116220210491.jpg"
"397",0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.214285714285714,0.470588235294118,0.0406264493983098,"25_1_1_20170116223829647.jpg"
"400",0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.0476190476190476,0.128676470588235,0.0406264493983098,"27_1_1_20170117202242686.jpg"
"405",1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.285714285714286,0.275735294117647,0.0406264493983098,"13_0_0_20170110224328242.jpg"
"408",1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.19047619047619,0.448529411764706,0.0406264493983098,"29_0_0_20170117202637960.jpg"
"410",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.142857142857143,0.301470588235294,0.0406264493983098,"25_0_1_20170113134142538.jpg"
"413",0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.738095238095238,0.408088235294118,0.0406264493983098,"28_1_1_20170112213628607.jpg"
"417",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.428571428571429,0.257352941176471,0.0406264493983098,"1_0_0_20161219210307125.jpg"
"419",1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.191176470588235,0.0406264493983098,"32_0_1_20170113175620388.jpg"
"423",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.191176470588235,0.0406264493983098,"31_1_1_20170117010333242.jpg"
"426",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0238095238095238,0.408088235294118,0.0406264493983098,"22_1_1_20170112230703798.jpg"
"427",0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.142857142857143,0.316176470588235,0.0406264493983098,"24_1_1_20170112233347824.jpg"
"429",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0714285714285714,0.492647058823529,0.0406264493983098,"4_0_0_20170110212621808.jpg"
"430",1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.428571428571429,0.724264705882353,0.0406264493983098,"14_0_0_20170110225116744.jpg"
"431",1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.428571428571429,0.599264705882353,0.0406264493983098,"26_0_0_20170117195907555.jpg"
"432",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.261904761904762,0.764705882352941,0.0406264493983098,"24_1_0_20170117150901270.jpg"
"433",1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0.547619047619048,0.397058823529412,0.0406264493983098,"22_0_0_20170117135052479.jpg"
"436",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.166666666666667,0.268382352941176,0.0406264493983098,"26_1_1_20170116155804560.jpg"
"439",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.459558823529412,0.0406264493983098,"32_1_0_20170103182614674.jpg"
"442",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.617647058823529,0.0406264493983098,"24_1_0_20170103180732376.jpg"
"445",0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0476190476190476,0.599264705882353,0.0406264493983098,"27_1_0_20170105162221371.jpg"
"447",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0952380952380952,0.283088235294118,0.0406264493983098,"26_1_1_20170116184558816.jpg"
"449",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0952380952380952,0.397058823529412,0.0406264493983098,"15_0_0_20170110232610061.jpg"
"453",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.333333333333333,0.459558823529412,0.0406264493983098,"26_1_0_20170117200604086.jpg"
"457",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0714285714285714,0.547794117647059,0.0406264493983098,"9_0_0_20170110225510191.jpg"
"458",0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.428571428571429,0.639705882352941,0.0406264493983098,"4_1_2_20161219205238948.jpg"
"459",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.404761904761905,0.580882352941177,0.0406264493983098,"19_1_0_20170103201508633.jpg"
"460",1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.476190476190476,0.327205882352941,0.0406264493983098,"26_0_1_20170116143057934.jpg"
"461",0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.119047619047619,0.481617647058824,0.0406264493983098,"26_1_1_20170116011427995.jpg"
"464",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.380952380952381,0.294117647058824,0.0406264493983098,"26_1_0_20170116170915992.jpg"
"468",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0238095238095238,0.580882352941177,0.0406264493983098,"31_0_1_20170117203020591.jpg"
"472",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.357142857142857,0.599264705882353,0.0406264493983098,"35_0_0_20170117145224204.jpg"
"474",1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.595238095238095,0.341911764705882,0.0406264493983098,"29_0_1_20170116194416791.jpg"
"476",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.30952380952381,0.915441176470588,0.0406264493983098,"27_1_0_20170103183523123.jpg"
