"Y","A","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185"
0,1,0,1,9,20,19,19,5,0.08,0,28,3,14.71,14.71,14.71,14.71,20.59,20.59,0,5,6,8,5,5,5,5,5,2,14,121,8,1,1,0,2,2,2,156,78,3,153,2,8,3,10,10,10,10,1,1,7,10,4,7,8,3,5,7,1,4,-1,175,175,200,125,200,125,60,50,70,60,70,60,312.5,156.3,93.8,187.5,93.8,156.3,90,70,70,90,90,-10,-10,-10,-10,-10,7,10,8,6,7,2,8,9,2,-1,243.9,24.4,219.5,146.3,219.5,146.3,90,60,90,60,90,7,3,2,-10,-10,-10,-10,-10,-10,250,111.1,250,111.1,222.2,55.6,90,20,90,70,90,60,384.6,76.9,307.7,76.9,76.9,76.9,90,60,90,50,90,-10,-10,-10,-10,-10,1,3,1,1,-1,225,175,225,75,225,75,-10,-10,-10,-10,-10,-10,70,80,70,60,90,60,100,70,60,70,40,-10,90,70,90,50,90,-10,-10,-10,-10,-10
0,0,1,1,17,11,7,2,5,-0.08,0,22,1,25,5,20,25,15,10,1,7,9,10,9,9,6,7,7,2,9,132,14,40,50,33585,2,3,8,217,1,2,87,9,7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5,10,3,-1,50,5,5,5,5,30,50,5,5,5,5,30,25,5,5,5,30,30,9,6,7,10,10,8,8,8,7,8,6,8,8,3,7,1,5,3,2,2,50,10,10,10,5,15,7.5,9,9,8,10,7,3,1,50,5,10,10,5,20,50,10,10,10,5,15,40,10,10,10,20,10,40,10,10,10,10,20,7,8,9,7,9,7,8,9,7,9,2,0,1,1,-1,50,10,10,10,5,15,50,10,10,10,10,10,40,10,10,10,20,10,40,10,10,10,20,10,7,7,9,7,9,7,7,9,7,7
1,1,0,0,16,8,8,8,7,0.15,1,28,2,16,25,20,12,12,15,0,5,7,8,5,6,5,5,5,2,13,223,4,201,1,0,2,1,2,89,1,3,60,3,6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3,8,5,-1,20,20,20,10,10,20,25,10,10,20,15,20,25,10,10,20,15,20,7,8,4,8,8,7,8,8,4,8,3,6,8,3,8,3,5,5,2,3,15,15,15,15,10,30,7,9,8,6,9,7,1,1,20,15,15,10,10,20,20,15,15,10,10,30,20,15,10,15,10,30,20,15,10,15,10,30,7,9,8,4,9,7,8,8,6,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,0,1,9,20,9,9,16,0.13,0,25,6,16.67,16.67,16.67,16.67,14.81,18.52,1,10,10,10,10,10,10,10,10,2,9,228,9,1,1,0,2,8,9,156,1,2,45,7,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,2,-1,153.8,173.1,173.1,173.1,173.1,153.8,70,90,70,80,80,70,257.1,171.4,142.9,228.6,85.7,114.3,70,80,90,90,80,-10,-10,-10,-10,-10,3,8,8,3,8,3,4,3,2,1,160,180,160,160,160,180,80,80,90,90,80,5,1,2,-10,-10,-10,-10,-10,-10,166.7,166.7,166.7,166.7,166.7,166.7,70,80,80,70,80,70,205.1,205.1,153.8,153.8,128.2,153.8,80,70,90,90,70,-10,-10,-10,-10,-10,0,1,0,-1,-1,163.3,163.3,163.3,163.3,183.7,163.3,-10,-10,-10,-10,-10,-10,60,80,70,60,80,60,90,70,60,60,50,-10,70,70,90,90,80,-10,-10,-10,-10,-10
0,0,1,0,1,10,9,-1,8,-0.3,1,25,2,35,10,35,10,10,0,0,8,10,10,7,9,9,8,-1,2,9,35,9,1,1,0,2,9,3,140,1,1,290,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,50,0,30,10,0,10,-1,-1,-1,-1,-1,-1,50,5,30,5,5,5,6,6,8,8,6,-1,-1,-1,-1,-1,7,6,6,6,6,6,6,7,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,1,-1,-1,-1,-1,-1,-1,19.51,14.63,17.07,17.07,14.63,17.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,8,8,7,-1,-1,-1,-1,-1,0,0,0,-1,-1,50,0,20,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,8,8,8,-1,-1,-1,-1,-1
0,0,1,1,2,19,10,-1,1,0.04,1,27,2,10,20,20,15,20,15,0,5,7,7,7,7,7,7,7,2,14,107,9,1,1,0,2,2,3,109,1,1,10,2,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,8,6,20,20,25,25,5,5,-1,-1,-1,-1,-1,-1,25,20,20,15,15,5,8,7,9,9,3,-1,-1,-1,-1,-1,6,6,6,5,6,4,6,6,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,2,-1,-1,-1,-1,-1,-1,30,20,20,20,0,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,7,7,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,9,20,14,17,18,0.4,0,23,4,15.38,19.23,17.31,19.23,9.62,19.23,0,5,5,5,5,5,6,5,6,2,24,132,14,1,1,0,2,5,2,75,111,3,72,7,1,1,2,1,10,10,10,1,1,10,10,10,10,5,10,10,6,5,-1,238.1,238.1,238.1,238.1,23.8,23.8,100,100,100,100,100,100,166.7,166.7,166.7,166.7,166.7,166.7,60,60,60,60,60,-10,-10,-10,-10,-10,9,8,8,7,5,6,7,4,2,1,243.2,243.2,189.2,162.2,81.1,81.1,60,80,70,70,50,7,1,3,-10,-10,-10,-10,-10,-10,230.8,205.1,205.1,153.8,76.9,128.2,80,60,60,60,30,70,186,162.8,139.5,186,186,139.5,70,70,70,70,40,-10,-10,-10,-10,-10,3,2,0,-1,-1,189.2,216.2,216.2,162.2,108.1,108.1,-10,-10,-10,-10,-10,-10,80,80,80,80,80,80,60,50,50,70,70,-10,70,70,80,70,40,-10,-10,-10,-10,-10
0,0,0,1,7,16,16,16,2,0.29,1,23,4,11.11,17.78,17.78,17.78,17.78,17.78,1,6,8,8,8,8,8,9,9,2,12,45,9,1,1,0,4,5,4,62,110,1,43,7,8,7,8,8,6,6,9,2,9,7,4,6,7,5,6,6,3,4,-1,142.9,163.3,163.3,183.7,183.7,163.3,80,80,70,70,60,60,232.6,162.8,139.5,162.8,139.5,162.8,70,80,90,80,90,-10,-10,-10,-10,-10,2,8,8,7,6,7,2,6,0,2,145.8,166.7,166.7,166.7,187.5,166.7,70,80,80,90,90,2,2,2,-10,-10,-10,-10,-10,-10,145.8,166.7,166.7,187.5,187.5,145.8,80,80,80,70,70,80,219.5,146.3,146.3,170.7,146.3,170.7,70,80,80,90,90,-10,-10,-10,-10,-10,-1,-1,-1,-1,-1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,0,1,1,7,16,4,16,5,-0.21,1,36,2,18.18,18.18,18.18,18.18,13.64,13.64,0,6,8,8,8,-1,-1,5,3,2,6,169,3,1,1,0,2,5,8,162,1,1,258,2,10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,3,-1,183.7,183.7,204.1,204.1,163.3,61.2,80,70,60,80,70,50,145.8,187.5,187.5,208.3,166.7,104.2,70,90,90,90,90,-10,-10,-10,-10,-10,5,6,5,5,5,4,4,3,0,5,170.2,170.2,170.2,170.2,170.2,148.9,70,80,90,80,80,6,3,3,-10,-10,-10,-10,-10,-10,177.8,177.8,177.8,200,155.6,111.1,80,70,60,80,60,60,127.7,191.5,170.2,191.5,170.2,148.9,70,80,80,80,80,-10,-10,-10,-10,-10,-1,-1,-1,-1,-1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,0,1,1,11,21,10,10,5,0.17,1,28,2,25,20,20,25,0,10,0,7,9,9,6,5,3,6,7,2,9,24,11,228,1,9696,2,7,2,117,142,2,304,2,7,1,6,5,2,3,5,3,4,9,6,3,8,1,2,1,1,7,-1,27,15,28,10,10,10,40,3,25,8,13,11,40,3,25,8,13,11,8,9,6,10,7,7,6,8,7,8,8,7,8,7,7,4,6.5,6.5,0,4,25,20,30,15,5,5,8,7,10,3,5,6,3,2,-1,-1,-1,-1,-1,-1,25,19,30,15,6,10,35,20,15,15,5,10,25,20,15,10,20,10,8,7,9,5,5,7,6,9,6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,1,19,15,4,4,6,0.51,0,30,2,20,10,22,20,15,13,0,5,6,8,5,6,6,6,6,2,11,88,6,93,1,0,3,5,8,54,1,2,112,5,9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,7,-1,16,19,16,17,15,17,20,20,15,15,15,15,25,20,15,20,10,10,6,8,7,7,7,6,7,7,6,8,6,6,7,8,7,7,6,6,0,3,8,8,6,8,7,6,6,8,7,7,7,8,1,3,20,19,15,19,16,11,18,19,15,17,15,16,20,18,17,17,14,14,21,17,15,19,12,16,6,8,6,6,7,7,8,8,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,1,1,14,20,4,4,16,0.18,0,27,2,15,25,20,20,0,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,42,9,110,54,25380,4,3,3,155,1,1,174,7,7,9,6,6,3,3,1,7,8,6,8,5,8,7,8,6,2,6,-1,25,20,10,20,15,10,45,10,5,30,5,5,20,25,20,20,10,5,7,8,8,7,7,7,6,7,8,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,2,-1,-1,-1,-1,-1,-1,20,20,20,30,20,10,20,20,20,20,20,20,16.67,16.67,16.67,16.67,16.67,16.67,7,9,8,7,8,7,8,8,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,0,1,14,18,7,7,4,0.5,1,34,2,30,20,30,5,5,10,0,10,10,10,10,10,9,10,8,2,17,211,4,6,26,18720,2,1,8,156,90,2,91,7,2,3,10,8,7,8,7,1,6,7,4,8,8,8,9,6,7,6,-1,25,20,10,20,20,5,15,20,20,10,25,10,50,5,20,30,5,0,7,8,8,9,7,8,7,8,9,9,2,8,5,2,8,-1,3,10,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,2,-1,-1,-1,-1,-1,-1,27,15,15,23,10,10,15,15,15,15,20,20,30,15,15,25,5,10,8,9,9,8,7,8,4,5,7,4,0,3,1,1,-1,25,15,10,20,20,10,30,20,5,20,5,20,15,15,10,20,20,20,35,15,10,20,5,15,8,8,9,8,7,9,5,6,8,7
1,1,1,1,7,16,15,10,6,0.71,1,27,2,15.38,17.31,17.31,17.31,17.31,15.38,0,8,8,8,8,8,8,8,3,2,7,23,11,1,1,0,2,1,2,65,164,2,258,2,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,3,-1,186,139.5,186,162.8,162.8,162.8,90,50,60,80,50,50,136.4,181.8,204.5,136.4,159.1,181.8,60,70,70,70,50,-10,-10,-10,-10,-10,5,7,7,6,6,6,6,5,0,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,6,1,3,-10,-10,-10,-10,-10,-10,190.5,142.9,190.5,166.7,166.7,142.9,90,50,60,80,70,80,136.4,181.8,204.5,159.1,136.4,181.8,60,50,60,60,40,-10,-10,-10,-10,-10,-1,-1,-1,-1,-1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,0,1,11,21,17,17,14,-0.09,0,24,6,20,20,25,25,5,5,1,7,7,7,7,7,7,7,7,2,13,223,4,224,1,0,2,1,11,255,1,3,353,10,9,9,8,7,7,3,7,1,3,10,4,1,7,5,8,1,1,1,-1,10,40,20,20,0,10,17,17,17,17,16,16,20,10,10,20,10,30,6,10,5,9,3,6,10,9,4,5,6,8,8,8,6,5,8,4,0,1,10,30,10,10,10,30,6,9,9,5,3,7,3,2,-1,-1,-1,-1,-1,-1,10,30,10,10,10,30,17,16,16,17,17,17,30,10,10,20,10,20,6,9,9,6,3,7,9,10,6,5,0,0,0,0,-1,10,30,20,15,5,20,20,30,10,10,20,10,17,16,16,17,17,17,20,20,10,20,5,25,6,9,9,5,3,7,9,10,6,5
1,1,1,1,15,18,17,9,9,0.24,1,28,2,25,25,25,10,10,5,1,5,5,5,5,5,8,5,5,2,13,35,9,226,1,12900,2,1,2,56,170,2,73,7,9,2,9,9,9,9,7,3,5,9,1,6,7,8,10,3,8,7,-1,25,10,20,20,10,15,40,5,10,25,15,5,15,15,25,20,25,0,9,9,9,9,9,8,9,9,10,10,5,5,6,5,9,-1,5,7,2,-1,50,5,10,10,10,5,9,8,9,10,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,1,1,11,21,17,17,21,0.34,1,29,2,10,40,20,20,0,10,0,6,7,8,7,6,7,7,4,2,11,242,4,99,1,0,2,2,6,200,1,5,281,2,4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3,9,2,-1,20,20,20,15,5,20,35,20,1,19,1,24,25,10,10,25,20,10,7,8,6,8,5,7,7,9,4,7,6,7,7,5,3,4,8,4,0,3,20,15,20,15,15,20,7,9,8,7,4,3,3,3,-1,-1,-1,-1,-1,-1,15,20,20,15,10,20,30,15,10,15,10,20,15,20,15,20,15,15,6,8,7,6,5,6,6,9,4,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,1,21,22,15,15,7,-0.2,0,30,2,40,10,20,10,0,20,1,9,9,9,5,8,5,7,7,2,7,88,6,132,1,0,4,2,3,100,1,3,49,7,6,5,5,7,8,10,10,3,9,8,5,8,9,9,10,7,8,6,-1,20,10,10,30,15,15,60,5,10,10,5,10,60,5,10,10,5,10,8,4,10,8,8,7,2,7,9,7,5,3,5,5,2,2,4,4,0,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,2,30,5,15,15,5,30,20,10,10,20,20,20,30,10,20,20,10,10,40,5,10,20,5,20,8,7,8,9,9,7,7,8,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,0,0,5,10,2,-1,9,0.3,1,22,2,25,40,15,10,5,5,0,7,7,7,7,7,8,7,3,2,5,76,9,1,1,0,2,8,11,123,214,1,202,7,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3,6,4,20,10,20,20,20,10,-1,-1,-1,-1,-1,-1,20,10,15,20,15,20,8,7,8,8,8,-1,-1,-1,-1,-1,6,10,9,7,8,6,7,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,1,-1,-1,-1,-1,-1,-1,25,10,25,15,10,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,6,7,7,7,-1,-1,-1,-1,-1,0,0,0,-1,-1,18,14,20,18,17,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,6,7,7,7,-1,-1,-1,-1,-1
